"","study","outcome","id","sex","age","age_error","age_sd","age_lower","age_upper","resource","units","raw_return","raw_sd","adult_return","adult_sd","adult_se"
"125","BliegeBird_2002a","BliegeBird_2002a_fig5c","BliegeBird_2002a_fig5c_9","both",18.9853658536585,NA,NA,NA,NA,"shellfish","net kcal/hr",579.2,NA,NA,NA,NA
"126","BliegeBird_2002a","BliegeBird_2002a_fig5c","BliegeBird_2002a_fig5c_10","both",11.9609756097561,NA,NA,NA,NA,"shellfish","net kcal/hr",790.4,NA,NA,NA,NA
"127","BliegeBird_2002a","BliegeBird_2002a_fig5c","BliegeBird_2002a_fig5c_11","both",12.0390243902439,NA,NA,NA,NA,"shellfish","net kcal/hr",1078.4,NA,NA,NA,NA
"128","BliegeBird_2002a","BliegeBird_2002a_fig5c","BliegeBird_2002a_fig5c_12","both",12.5463414634146,NA,NA,NA,NA,"shellfish","net kcal/hr",1174.4,NA,NA,NA,NA
"129","BliegeBird_2002a","BliegeBird_2002a_fig5c","BliegeBird_2002a_fig5c_13","both",7.04390243902439,NA,NA,NA,NA,"shellfish","net kcal/hr",521.6,NA,NA,NA,NA
"130","BliegeBird_2002a","BliegeBird_2002a_fig6",NA,"both",NA,NA,NA,5,9,"shellfish","net kcal/hr",433.644,343.006,1244.12625,746.548794130824,186.637198532706
"131","BliegeBird_2002a","BliegeBird_2002a_fig6",NA,"both",NA,NA,NA,10,13,"shellfish","net kcal/hr",588.908,371.231,1244.12625,746.548794130824,186.637198532706
"132","BliegeBird_2002a","BliegeBird_2002a_fig6",NA,"both",NA,NA,NA,14,29,"shellfish","net kcal/hr",531.9,414.064,1244.12625,746.548794130824,186.637198532706
"133","BlurtonJones_1989","BlurtonJones_1989_table2_tubers","BlurtonJones_1989_table2_1","both",1.75,NA,NA,NA,NA,"tubers","g/h",23,NA,1381.64285714286,312.103682758164,83.4132178593883
"134","BlurtonJones_1989","BlurtonJones_1989_table2_fruit","BlurtonJones_1989_table2_1","both",1.75,NA,NA,NA,NA,"fruit","g/h",0,NA,1934,NA,NA
